director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,keywords
James Cameron,Joel David Moore,Action Adventure Fantasy Sci-Fi,CCH Pounder,avatar,Wes Studi,1463 2964 3386 3388 3679 3801 9685 9840 9882 9951 10148 10158 11399 13065 14643 14720 161176 165431 193554 206690
Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: at world's end,Jack Davenport,911 1319 2038 2052 2580 2660 4224 6155 12988 15149 157186 163702 179430 227419
Sam Mendes,Rory Kinnear,Action Adventure Thriller,Christoph Waltz,spectre,Stephanie Sigman,470 818 4289 9663 14555 156095 158431
Christopher Nolan,Christian Bale,Action Thriller,Tom Hardy,the dark knight rises,Joseph Gordon-Levitt,849 853 949 1308 1437 1562 1721 3562 7002 9665 9715 9717 9990 10044 11943 13015 14796 14828 14955 15011 18933 156082 156395 173272 269476
Andrew Stanton,Samantha Morton,Action Adventure Sci-Fi,Daryl Sabara,john carter,Polly Walker,818 839 1456 3801 7376 9951 10028 10539 10685 163252 179102 190320 195446 207928
Sam Raimi,James Franco,Action Adventure Romance,J.K. Simmons,spider-man 3,Kirsten Dunst,697 851 1453 1965 2038 3446 3986 4391 5776 5789 5857 6062 9663 9715 9717 9748
Nathan Greno,Donna Murphy,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,tangled,M.C. Gainey,1562 2343 2673 3205 4344 6946 7376 33787 162219 163545 179411 179431 215258 234183 243494
Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,avengers: age of ultron,Scarlett Johansson,5318 9663 9715 9717 155030 179431 180547
David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Alan Rickman,harry potter and the half-blood prince,Rupert Grint,616 2343 3884 10164 10791 10873 12564 177912 246466
Zack Snyder,Lauren Cohan,Action Adventure Sci-Fi,Henry Cavill,batman v superman: dawn of justice,Alan D. Purwin,849 7002 9715 9717 9748 33637 229266
Bryan Singer,Marlon Brando,Action Adventure Sci-Fi,Kevin Spacey,superman returns,Frank Langella,83 849 8872 9663 9715 9717 33637 163420 179102 202526
Marc Forster,Mathieu Amalric,Action Adventure,Giancarlo Giannini,quantum of solace,Rory Kinnear,627 1568 4289 156095
Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: dead man's chest,Jack Davenport,616 663 910 911 1299 1316 1319 1461 3799 5600 9725 12988 157186 161171 179430 208048
Gore Verbinski,Ruth Wilson,Action Adventure Western,Johnny Depp,the lone ranger,Tom Wilkinson,1556 2673 5385 5901 9104 9503 10322 10685 10909 13008 178867 179419 228232
Zack Snyder,Christopher Meloni,Action Adventure Fantasy Sci-Fi,Henry Cavill,man of steel,Harry Lennix,83 849 9715 9717 10761 14909 33637 161184 229266
Andrew Adamson,Pierfrancesco Favino,Action Adventure Family Fantasy,Peter Dinklage,the chronicles of narnia: prince caspian,Damián Alcázar,380 818 2043 4391 5144 6150 6464 15101 170362 246466
Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,the avengers,Scarlett Johansson,242 5539 9715 9717 14909 155030 179430 179431 180547
Rob Marshall,Sam Claflin,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: on stranger tides,Stephen Graham,392 514 658 1316 1860 1938 2569 3180 3625 3799 4235 5938 12988 13065 14643 157186 160279 179430 249261 270337
