movie_title,movie_id
avatar,19995
pirates of the caribbean: at world's end,285
spectre,206647
the dark knight rises,49026
john carter,49529
spider-man 3,559
tangled,38757
avengers: age of ultron,99861
harry potter and the half-blood prince,767
batman v superman: dawn of justice,209112
superman returns,1452
quantum of solace,10764
pirates of the caribbean: dead man's chest,58
the lone ranger,57201
man of steel,49521
the chronicles of narnia: prince caspian,2454
the avengers,24428
pirates of the caribbean: on stranger tides,1865
men in black 3,41154
the hobbit: the battle of the five armies,122917
the amazing spider-man,1930
robin hood,11886
the hobbit: the desolation of smaug,57158
the golden compass,2268
king kong,254
titanic,597
captain america: civil war,271110
battleship,44833
jurassic world,135397
skyfall,37724
spider-man 2,558
iron man 3,68721
alice in wonderland,12092
x-men: the last stand,36668
monsters university,62211
transformers: revenge of the fallen,8373
transformers: age of extinction,91314
oz the great and powerful,68728
the amazing spider-man 2,102382
tron: legacy,20526
cars 2,49013
green lantern,65291
toy story 3,10193
terminator salvation,534
furious 7,168259
world war z,72190
x-men: days of future past,127585
star trek into darkness,54138
jack the giant slayer,81005
the great gatsby,64682
prince of persia: the sands of time,9543
pacific rim,68726
transformers: dark of the moon,38356
indiana jones and the kingdom of the crystal skull,217
the good dinosaur,105864
brave,62177
star trek beyond,188927
wall·e,10681
rush hour 3,5174
2012,14161
a christmas carol,17979
jupiter ascending,76757
the legend of tarzan,258489
the chronicles of narnia: the lion the witch and the wardrobe,411
x-men: apocalypse,246655
the dark knight,155
up,14160
monsters vs. aliens,15512
iron man,1726
hugo,44826
wild wild west,8487
the mummy: tomb of the dragon emperor,1735
suicide squad,297761
evan almighty,2698
edge of tomorrow,137113
waterworld,9804
g.i. joe: the rise of cobra,14869
inside out,150540
the jungle book,9325
iron man 2,10138
snow white and the huntsman,58595
maleficent,102651
dawn of the planet of the apes,119450
the lovers,426253
47 ronin,64686
captain america: the winter soldier,100402
shrek forever after,10192
tomorrowland,158852
big hero 6,177572
wreck-it ralph,82690
the polar express,5255
independence day: resurgence,47933
how to train your dragon,10191
terminator 3: rise of the machines,296
guardians of the galaxy,118340
interstellar,157336
inception,27205
godzilla resurgence,315011
the hobbit: an unexpected journey,49051
the fast and the furious,9615
the curious case of benjamin button,4922
x-men: first class,49538
the hunger games: mockingjay - part 2,131634
the sorcerer's apprentice,27022
poseidon,503
alice through the looking glass,241259
shrek the third,810
warcraft,68735
terminator genisys,87101
the chronicles of narnia: the voyage of the dawn treader,10140
pearl harbor,676
transformers,91314
alexander,1966
harry potter and the order of the phoenix,675
harry potter and the goblet of fire,674
hancock,8960
i am legend,6479
charlie and the chocolate factory,118
ratatouille,2062
batman begins,272
madagascar: escape 2 africa,10527
night at the museum: battle of the smithsonian,18360
x-men origins: wolverine,2080
the matrix revolutions,605
frozen,109445
the matrix reloaded,604
thor: the dark world,76338
mad max: fury road,76341
angels & demons,13448
thor,10195
bolt,13053
g-force,19585
wrath of the titans,57165
dark shadows,62213
mission: impossible - rogue nation,177677
the wolfman,7978
bee movie,5559
kung fu panda 2,49444
the last airbender,10196
mission: impossible iii,956
white house down,117251
mars needs moms,50321
flushed away,11619
pan,10693
mr. peabody & sherman,82703
troy,652
madagascar 3: europe's most wanted,80321
die another day,36669
ghostbusters,620
armageddon,95
men in black ii,608
beowulf,2310
kung fu panda 3,140300
mission: impossible - ghost protocol,56292
rise of the guardians,81188
fun with dick and jane,7552
the last samurai,616
exodus: gods and kings,147441
star trek,13475
spider-man,557
how to train your dragon 2,82702
gods of egypt,205584
stealth,10048
watchmen,13183
lethal weapon 4,944
hulk,1927
g.i. joe: retaliation,72559
sahara,7364
final fantasy: the spirits within,2114
captain america: the first avenger,1771
the world is not enough,36643
master and commander: the far side of the world,8619
the twilight saga: breaking dawn - part 2,50620
happy feet 2,65759
the incredible hulk,1724
the bfg,267935
the revenant,281957
turbo,77950
rango,44896
penguins of madagascar,270946
the bourne ultimatum,2503
kung fu panda,9502
ant-man,102899
the hunger games: catching fire,101299
home,429617
war of the worlds,74
bad boys ii,8961
puss in boots,417859
salt,27576
noah,86834
the adventures of tintin,17578
harry potter and the prisoner of azkaban,673
australia,6972
after earth,82700
dinosaur,10567
harry potter and the deathly hallows: part ii,12445
night at the museum: secret of the tomb,181533
megamind,38055
harry potter and the sorcerer's stone,671
r.i.p.d.,49524
pirates of the caribbean: the curse of the black pearl,22
harry potter and the deathly hallows: part i,12445
the hunger games: mockingjay - part 1,131631
the da vinci code,591
rio 2,172385
x-men 2,758075
fast five,51497
sherlock holmes: a game of shadows,58574
clash of the titans,18823
total recall,861
the 13th warrior,1911
the bourne legacy,49040
batman & robin,415
how the grinch stole christmas,8871
the day after tomorrow,435
mission: impossible ii,955
the perfect storm,2133
fantastic 4: rise of the silver surfer,1979
life of pi,87827
ghost rider,1250
jason bourne,324668
charlie's angels: full throttle,9471
prometheus,70981
stuart little 2,10996
elysium,68724
the chronicles of riddick,2789
robocop,5548
speed racer,7459
how do you know,42888
knight and day,37834
oblivion,75612
star wars: episode iii - revenge of the sith,1895
star wars: episode ii - attack of the clones,1894
monsters inc.,585
the wolverine,76170
star wars: episode i - the phantom menace,1893
the croods,529203
asterix at the olympic games,2395
windtalkers,12100
the huntsman: winter's war,290595
teenage mutant ninja turtles,98566
gravity,49047
dante's peak,9619
teenage mutant ninja turtles: out of the shadows,308531
fantastic four,9738
night at the museum,1593
san andreas,254128
tomorrow never dies,714
the patriot,2024
ocean's twelve,163
mr. & mrs. smith,787
insurgent,262500
the aviator,2567
gulliver's travels,38745
the green hornet,40805
300: rise of an empire,53182
the smurfs,41513
home on the range,13700
allegiant,262504
real steel,39254
the smurfs 2,77931
speed 2: cruise control,1639
ender's game,80274
live free or die hard,1571
the lord of the rings: the fellowship of the ring,120
around the world in 80 days,10204
ali,8489
the cat in the hat,10588
i robot,2048
kingdom of heaven,1495
stuart little,10137
the princess and the frog,10198
the martian,286217
the island,1635
town & country,24113
gone in sixty seconds,9679
gladiator,98
minority report,180
harry potter and the chamber of secrets,672
casino royale,36557
planet of the apes,871
terminator 2: judgment day,280
public enemies,22855
american gangster,4982
