movie_title,recommend,
avatar,"['aliens', 'star trek into darkness', 'wing commander', 'stargate: the ark of truth', 'zathura: a space adventure', 'final fantasy: the spirits within', 'valerian and the city of a thousand planets', 'lockout', 'predators', 'the chronicles of riddick', 'star wars: episode v - the empire strikes back', 'barbarella', 'alien 3', 'guardians of the galaxy', 'divergent', 'titan a.e.', 'deep rising', 'independence day: resurgence', 'the time machine', 'the specials', 'destiny']",
pirates of the caribbean: at world's end,"[""pirates of the caribbean: dead man's chest"", 'pirates of the caribbean: the curse of the black pearl', 'pirates of the caribbean: dead men tell no tales', 'pirates of the caribbean: on stranger tides', 'the libertine', 'the lone ranger', 'alice through the looking glass', 'the three musketeers', 'cats & dogs: the revenge of kitty galore', 'rango', 'cutthroat island', 'sherlock gnomes', ""nim's island"", 'alice in wonderland', 'thor: the dark world', 'thor', 'anacondas: the hunt for the blood orchid', 'the lord of the rings: the return of the king', 'x-men: the last stand', 'charlie and the chocolate factory', 'justice league']",
spectre,"['skyfall', 'quantum of solace', 'iboy', 'die another day', 'allegiant', 'never say never again', 'thunderball', 'xxx: return of xander cage', 'mission: impossible - rogue nation', 'casino royale', 'dr. no', 'johnny english strikes again', 'stealth', 'goldfinger', 'the legend of tarzan', 'the world is not enough', 'insurgent', 'the hunt for red october', 'mission: impossible', 'the art of war', 'spy kids: all the time in the world in 4d']",
the dark knight rises,"['the dark knight', 'batman begins', 'inception', 'g.i. joe: the rise of cobra', 'rocknrolla', 'kick-ass 2', 'batman v superman: dawn of justice', 'invasion u.s.a.', 'spider-man: far from home', 'sin city: a dame to kill for', 'miracle at st. anna', 'premium rush', 'doomsday', 'don jon', 'ghost rider: spirit of vengeance', 'justice league dark', 'man of steel', 'catwoman', 'venom', 'shazam!', 'mission: impossible - ghost protocol']",
john carter,"['spy kids: all the time in the world in 4d', 'stargate: the ark of truth', 'the 5th wave', 'independence day: resurgence', 'wall·e', 'i am number four', 'the host', 'spy kids', 'mars needs moms', 'mission to mars', 'stealth', 'steamboy', 'aliens', 'monsters vs. aliens', 'transformers: age of extinction', 'the amazing spider-man 2', 'allegiant', 'timeline', 'spaced invaders', 'the iron giant', 'star trek into darkness']",
spider-man 3,"['spider-man 2', 'spider-man', 'guardians of the galaxy', 'guardians of the galaxy vol. 2', 'flyboys', 'superman ii', 'batman v superman: dawn of justice', 'oz the great and powerful', 'avengers: age of ultron', 'dark phoenix', 'captain america: civil war', 'deadpool 2', 'aquaman', 'superman returns', 'the wolverine', 'deadpool', 'dragonball: evolution', 'the quick and the dead', 'iron man 2', 'thor: ragnarok', 'ant-man and the wasp']",
tangled,"['stuart little 2', 'into the woods', 'enchanted', 'frozen', 'shrek 2', 'happy feet 2', ""legends of oz: dorothy's return"", 'thunder and the house of magic', 'the princess and the frog', 'sinbad: legend of the seven seas', 'winnie the pooh', 'the smurfs', 'anastasia', 'shrek', 'pocahontas', 'toy story 3', 'rio', 'aladdin', 'frozen ii', 'the pirate', 'mirror mirror']",
avengers: age of ultron,"['the avengers', 'captain america: civil war', 'iron man 2', 'captain america: the winter soldier', 'thor: ragnarok', 'iron man 3', 'guardians of the galaxy vol. 2', 'guardians of the galaxy', 'iron man', 'thor: the dark world', 'avengers: endgame', 'avengers: infinity war', 'ant-man', 'justice league', 'captain america: the first avenger', 'thor', 'superman ii', 'superman returns', 'the wolverine', 'deadpool', 'x-men: apocalypse']",
harry potter and the half-blood prince,"['harry potter and the chamber of secrets', 'harry potter and the prisoner of azkaban', 'harry potter and the order of the phoenix', 'harry potter and the goblet of fire', ""harry potter and the sorcerer's stone"", 'harry potter and the deathly hallows: part i', 'harry potter and the deathly hallows: part ii', 'oz the great and powerful', 'alice in wonderland', 'fantastic beasts: the crimes of grindelwald', 'the neverending story', 'the twilight saga: eclipse', 'goosebumps', 'alice through the looking glass', ""mary and the witch's flower"", 'viy', 'thunder and the house of magic', 'inspector gadget', 'the chronicles of narnia: the voyage of the dawn treader', 'now you see me 2', ""howl's moving castle""]",
batman v superman: dawn of justice,"['justice league', 'man of steel', 'green lantern', 'superman returns', 'doom', 'destiny', 'doomsday', 'superman ii', 'suicide squad', 'x-men: apocalypse', 'x-men', 'teen titans: the judas contract', 'superman', 'iron man 2', 'superman iii', 'the amazing spider-man 2', 'teenage mutant ninja turtles', 'avengers: age of ultron', 'iron man 3', 'guardians of the galaxy', 'the time machine']",
