,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name
0,James Cameron,Joel David Moore,Action Adventure Fantasy Sci-Fi,CCH Pounder,avata,Wes Studi
1,Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: at world's en,Jack Davenport
2,Sam Mendes,Rory Kinnear,Action Adventure Thriller,Christoph Waltz,spectr,Stephanie Sigman
3,Christopher Nolan,Christian Bale,Action Thriller,Tom Hardy,the dark knight rise,Joseph Gordon-Levitt
4,Doug Walker,Rob Walker,Documentary,Doug Walker,star wars: episode vii - the force awakens           ,unknown
5,Andrew Stanton,Samantha Morton,Action Adventure Sci-Fi,Daryl Sabara,john carte,Polly Walker
6,Sam Raimi,James Franco,Action Adventure Romance,J.K. Simmons,spider-man ,Kirsten Dunst
7,Nathan Greno,Donna Murphy,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,tangle,M.C. Gainey
8,Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,avengers: age of ultro,Scarlett Johansson
9,David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Alan Rickman,harry potter and the half-blood princ,Rupert Grint
10,Zack Snyder,Lauren Cohan,Action Adventure Sci-Fi,Henry Cavill,batman v superman: dawn of justic,Alan D. Purwin
11,Bryan Singer,Marlon Brando,Action Adventure Sci-Fi,Kevin Spacey,superman return,Frank Langella
12,Marc Forster,Mathieu Amalric,Action Adventure,Giancarlo Giannini,quantum of solac,Rory Kinnear
13,Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: dead man's ches,Jack Davenport
14,Gore Verbinski,Ruth Wilson,Action Adventure Western,Johnny Depp,the lone range,Tom Wilkinson
15,Zack Snyder,Christopher Meloni,Action Adventure Fantasy Sci-Fi,Henry Cavill,man of stee,Harry Lennix
16,Andrew Adamson,Pierfrancesco Favino,Action Adventure Family Fantasy,Peter Dinklage,the chronicles of narnia: prince caspia,Damián Alcázar
17,Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,the avenger,Scarlett Johansson
18,Rob Marshall,Sam Claflin,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: on stranger tide,Stephen Graham
19,Barry Sonnenfeld,Michael Stuhlbarg,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,men in black ,Nicole Scherzinger
20,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the battle of the five armie,James Nesbitt
21,Marc Webb,Andrew Garfield,Action Adventure Fantasy,Emma Stone,the amazing spider-ma,Chris Zylka
22,Ridley Scott,William Hurt,Action Adventure Drama History,Mark Addy,robin hoo,Scott Grimes
23,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the desolation of smau,James Nesbitt
24,Chris Weitz,Eva Green,Adventure Family Fantasy,Christopher Lee,the golden compas,Kristin Scott Thomas
25,Peter Jackson,Thomas Kretschmann,Action Adventure Drama Romance,Naomi Watts,king kon,Evan Parke
26,James Cameron,Kate Winslet,Drama Romance,Leonardo DiCaprio,titani,Gloria Stuart
27,Anthony Russo,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,captain america: civil wa,Chris Evans
28,Peter Berg,Alexander Skarsgård,Action Adventure Sci-Fi Thriller,Liam Neeson,battleshi,Tadanobu Asano
29,Colin Trevorrow,Judy Greer,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,jurassic worl,Omar Sy
30,Sam Mendes,Helen McCrory,Action Adventure Thriller,Albert Finney,skyfal,Rory Kinnear
31,Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,spider-man ,Kirsten Dunst
32,Shane Black,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,iron man ,Don Cheadle
33,Tim Burton,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice in wonderlan,Anne Hathaway
34,Brett Ratner,Kelsey Grammer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men: the last stan,Daniel Cudmore
35,Dan Scanlon,Tyler Labine,Adventure Animation Comedy Family Fantasy,Steve Buscemi,monsters universit,Sean Hayes
36,Michael Bay,Kevin Dunn,Action Adventure Sci-Fi,Glenn Morshower,transformers: revenge of the falle,Ramon Rodriguez
37,Michael Bay,Sophia Myles,Action Adventure Sci-Fi,Bingbing Li,transformers: age of extinctio,Kelsey Grammer
38,Sam Raimi,Mila Kunis,Adventure Family Fantasy,Tim Holmes,oz the great and powerfu,James Franco
39,Marc Webb,Andrew Garfield,Action Adventure Fantasy Sci-Fi,Emma Stone,the amazing spider-man ,B.J. Novak
40,Joseph Kosinski,Olivia Wilde,Action Adventure Sci-Fi,Jeff Bridges,tron: legac,James Frain
41,John Lasseter,Thomas Kretschmann,Adventure Animation Comedy Family Sport,Joe Mantegna,cars ,Eddie Izzard
42,Martin Campbell,Temuera Morrison,Action Adventure Sci-Fi,Ryan Reynolds,green lanter,Taika Waititi
43,Lee Unkrich,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Tom Hanks,toy story ,Don Rickles
44,McG,Bryce Dallas Howard,Action Adventure Sci-Fi,Christian Bale,terminator salvatio,Common
45,James Wan,Paul Walker,Action Crime Thriller,Jason Statham,furious ,Vin Diesel
46,Marc Forster,Brad Pitt,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,world war ,Mireille Enos
47,Bryan Singer,Peter Dinklage,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,x-men: days of future pas,Hugh Jackman
48,J.J. Abrams,Bruce Greenwood,Action Adventure Sci-Fi,Benedict Cumberbatch,star trek into darknes,Noel Clarke
49,Bryan Singer,Ewen Bremner,Adventure Fantasy,Eddie Marsan,jack the giant slaye,Ralph Brown
50,Baz Luhrmann,Elizabeth Debicki,Drama Romance,Leonardo DiCaprio,the great gatsb,Steve Bisley
51,Mike Newell,Richard Coyle,Action Adventure Fantasy Romance,Jake Gyllenhaal,prince of persia: the sands of tim,Reece Ritchie
52,Guillermo del Toro,Clifton Collins Jr.,Action Adventure Sci-Fi,Charlie Hunnam,pacific ri,Larry Joe Campbell
53,Michael Bay,Lester Speight,Action Adventure Sci-Fi,Glenn Morshower,transformers: dark of the moo,Kevin Dunn
54,Steven Spielberg,Ray Winstone,Action Adventure Fantasy,Harrison Ford,indiana jones and the kingdom of the crystal skul,Jim Broadbent
55,Peter Sohn,Jack McGraw,Adventure Animation Comedy Family Fantasy,A.J. Buckley,the good dinosau,Peter Sohn
56,Mark Andrews,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,brav,Julie Walters
57,Justin Lin,Melissa Roxburgh,Action Adventure Sci-Fi Thriller,Sofia Boutella,star trek beyon,Lydia Wilson
58,Andrew Stanton,Fred Willard,Adventure Animation Family Sci-Fi,John Ratzenberger,wall·,Jeff Garlin
59,Brett Ratner,Dana Ivey,Action Comedy Crime Thriller,Tzi Ma,rush hour ,Noémie Lenoir
60,Roland Emmerich,Liam James,Action Adventure Sci-Fi,Oliver Platt,201,Tom McCarthy
61,Robert Zemeckis,Colin Firth,Animation Drama Family Fantasy,Robin Wright,a christmas caro,Gary Oldman
62,Lana Wachowski,Mila Kunis,Action Adventure Sci-Fi,Channing Tatum,jupiter ascendin,Eddie Redmayne
63,David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,the legend of tarza,Casper Crump
64,Andrew Adamson,Kiran Shah,Adventure Family Fantasy,Jim Broadbent,"the chronicles of narnia: the lion, the witch and the wardrob",Shane Rangi
65,Bryan Singer,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: apocalyps,Tye Sheridan
66,Christopher Nolan,Heath Ledger,Action Crime Drama Thriller,Christian Bale,the dark knigh,Morgan Freeman
67,Pete Docter,Delroy Lindo,Adventure Animation Comedy Family,John Ratzenberger,u,Jess Harnell
68,Rob Letterman,Rainn Wilson,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,monsters vs. alien,Stephen Colbert
69,Jon Favreau,Jeff Bridges,Action Adventure Sci-Fi,Robert Downey Jr.,iron ma,Jon Favreau
70,Martin Scorsese,Christopher Lee,Adventure Drama Family Mystery,Chloë Grace Moretz,hug,Ray Winstone
71,Barry Sonnenfeld,Salma Hayek,Action Comedy Sci-Fi Western,Will Smith,wild wild wes,Bai Ling
72,Rob Cohen,Brendan Fraser,Action Adventure Fantasy Horror Thriller,Jet Li,the mummy: tomb of the dragon empero,Russell Wong
73,David Ayer,Robin Atkin Downes,Action Adventure Comedy Sci-Fi,Will Smith,suicide squa,Ike Barinholtz
74,Tom Shadyac,Morgan Freeman,Comedy Family Fantasy,Jimmy Bennett,evan almight,Steve Carell
75,Doug Liman,Lara Pulver,Action Adventure Sci-Fi,Tom Cruise,edge of tomorro,Noah Taylor
76,Kevin Reynolds,Rick Aviles,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,waterworl,Zakes Mokae
77,Stephen Sommers,Dennis Quaid,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,g.i. joe: the rise of cobr,Leo Howard
78,Pete Docter,Mindy Kaling,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,inside ou,Phyllis Smith
79,Jon Favreau,Bill Murray,Adventure Drama Family Fantasy,Scarlett Johansson,the jungle boo,Garry Shandling
80,Jon Favreau,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,iron man ,Jon Favreau
81,Rupert Sanders,Kristen Stewart,Action Adventure Drama Fantasy,Chris Hemsworth,snow white and the huntsma,Sam Claflin
82,Robert Stromberg,Sharlto Copley,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,maleficen,Sam Riley
83,Matt Reeves,Judy Greer,Action Adventure Drama Sci-Fi,Gary Oldman,dawn of the planet of the ape,Kodi Smit-McPhee
84,Roland Joffé,Alice Englert,Action Adventure Romance Sci-Fi,Tamsin Egerton,the lover,Bipasha Basu
85,Carl Rinsch,Cary-Hiroyuki Tagawa,Action Adventure Drama Fantasy,Keanu Reeves,47 roni,Jin Akanishi
86,Anthony Russo,Chris Evans,Action Adventure Sci-Fi,Scarlett Johansson,captain america: the winter soldie,Hayley Atwell
87,Mike Mitchell,Kathy Griffin,Adventure Animation Comedy Family Fantasy,Jon Hamm,shrek forever afte,Mary Kay Place
88,Brad Bird,Chris Bauer,Action Adventure Family Mystery Sci-Fi,Judy Greer,tomorrowlan,Thomas Robinson
89,Don Hall,Daniel Henney,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,big hero ,Abraham Benrubi
90,Rich Moore,Sarah Silverman,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,wreck-it ralp,Joe Lo Truglio
91,Robert Zemeckis,Eddie Deezen,Adventure Animation Family Fantasy,Tom Hanks,the polar expres,Peter Scolari
92,Roland Emmerich,Sela Ward,Action Adventure Sci-Fi,Vivica A. Fox,independence day: resurgenc,Judd Hirsch
93,Dean DeBlois,America Ferrera,Adventure Animation Family Fantasy,Gerard Butler,how to train your drago,Craig Ferguson
94,Jonathan Mostow,M.C. Gainey,Action Sci-Fi,Nick Stahl,terminator 3: rise of the machine,Carolyn Hennesy
