director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name
James Cameron,Joel David Moore,Action Adventure Fantasy Sci-Fi,CCH Pounder,avata,Wes Studi
Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: at world's en,Jack Davenport
Sam Mendes,Rory Kinnear,Action Adventure Thriller,Christoph Waltz,spectr,Stephanie Sigman
Christopher Nolan,Christian Bale,Action Thriller,Tom Hardy,the dark knight rise,Joseph Gordon-Levitt
Doug Walker,Rob Walker,Documentary,Doug Walker,star wars: episode vii - the force awakens           ,unknown
Andrew Stanton,Samantha Morton,Action Adventure Sci-Fi,Daryl Sabara,john carte,Polly Walker
Sam Raimi,James Franco,Action Adventure Romance,J.K. Simmons,spider-man ,Kirsten Dunst
Nathan Greno,Donna Murphy,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,tangle,M.C. Gainey
Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,avengers: age of ultro,Scarlett Johansson
David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Alan Rickman,harry potter and the half-blood princ,Rupert Grint
Zack Snyder,Lauren Cohan,Action Adventure Sci-Fi,Henry Cavill,batman v superman: dawn of justic,Alan D. Purwin
Bryan Singer,Marlon Brando,Action Adventure Sci-Fi,Kevin Spacey,superman return,Frank Langella
Marc Forster,Mathieu Amalric,Action Adventure,Giancarlo Giannini,quantum of solac,Rory Kinnear
Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: dead man's ches,Jack Davenport
Gore Verbinski,Ruth Wilson,Action Adventure Western,Johnny Depp,the lone range,Tom Wilkinson
Zack Snyder,Christopher Meloni,Action Adventure Fantasy Sci-Fi,Henry Cavill,man of stee,Harry Lennix
Andrew Adamson,Pierfrancesco Favino,Action Adventure Family Fantasy,Peter Dinklage,the chronicles of narnia: prince caspia,Damián Alcázar
Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,the avenger,Scarlett Johansson
Rob Marshall,Sam Claflin,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: on stranger tide,Stephen Graham
Barry Sonnenfeld,Michael Stuhlbarg,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,men in black ,Nicole Scherzinger
Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the battle of the five armie,James Nesbitt
Marc Webb,Andrew Garfield,Action Adventure Fantasy,Emma Stone,the amazing spider-ma,Chris Zylka
Ridley Scott,William Hurt,Action Adventure Drama History,Mark Addy,robin hoo,Scott Grimes
Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the desolation of smau,James Nesbitt
Chris Weitz,Eva Green,Adventure Family Fantasy,Christopher Lee,the golden compas,Kristin Scott Thomas
Peter Jackson,Thomas Kretschmann,Action Adventure Drama Romance,Naomi Watts,king kon,Evan Parke
James Cameron,Kate Winslet,Drama Romance,Leonardo DiCaprio,titani,Gloria Stuart
Anthony Russo,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,captain america: civil wa,Chris Evans
Peter Berg,Alexander Skarsgård,Action Adventure Sci-Fi Thriller,Liam Neeson,battleshi,Tadanobu Asano
Colin Trevorrow,Judy Greer,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,jurassic worl,Omar Sy
Sam Mendes,Helen McCrory,Action Adventure Thriller,Albert Finney,skyfal,Rory Kinnear
Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,spider-man ,Kirsten Dunst
Shane Black,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,iron man ,Don Cheadle
Tim Burton,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice in wonderlan,Anne Hathaway
Brett Ratner,Kelsey Grammer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men: the last stan,Daniel Cudmore
Dan Scanlon,Tyler Labine,Adventure Animation Comedy Family Fantasy,Steve Buscemi,monsters universit,Sean Hayes
Michael Bay,Kevin Dunn,Action Adventure Sci-Fi,Glenn Morshower,transformers: revenge of the falle,Ramon Rodriguez
Michael Bay,Sophia Myles,Action Adventure Sci-Fi,Bingbing Li,transformers: age of extinctio,Kelsey Grammer
Sam Raimi,Mila Kunis,Adventure Family Fantasy,Tim Holmes,oz the great and powerfu,James Franco
Marc Webb,Andrew Garfield,Action Adventure Fantasy Sci-Fi,Emma Stone,the amazing spider-man ,B.J. Novak
Joseph Kosinski,Olivia Wilde,Action Adventure Sci-Fi,Jeff Bridges,tron: legac,James Frain
John Lasseter,Thomas Kretschmann,Adventure Animation Comedy Family Sport,Joe Mantegna,cars ,Eddie Izzard
Martin Campbell,Temuera Morrison,Action Adventure Sci-Fi,Ryan Reynolds,green lanter,Taika Waititi
Lee Unkrich,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Tom Hanks,toy story ,Don Rickles
McG,Bryce Dallas Howard,Action Adventure Sci-Fi,Christian Bale,terminator salvatio,Common
James Wan,Paul Walker,Action Crime Thriller,Jason Statham,furious ,Vin Diesel
Marc Forster,Brad Pitt,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,world war ,Mireille Enos
Bryan Singer,Peter Dinklage,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,x-men: days of future pas,Hugh Jackman
J.J. Abrams,Bruce Greenwood,Action Adventure Sci-Fi,Benedict Cumberbatch,star trek into darknes,Noel Clarke
Bryan Singer,Ewen Bremner,Adventure Fantasy,Eddie Marsan,jack the giant slaye,Ralph Brown
Baz Luhrmann,Elizabeth Debicki,Drama Romance,Leonardo DiCaprio,the great gatsb,Steve Bisley
Mike Newell,Richard Coyle,Action Adventure Fantasy Romance,Jake Gyllenhaal,prince of persia: the sands of tim,Reece Ritchie
Guillermo del Toro,Clifton Collins Jr.,Action Adventure Sci-Fi,Charlie Hunnam,pacific ri,Larry Joe Campbell
Michael Bay,Lester Speight,Action Adventure Sci-Fi,Glenn Morshower,transformers: dark of the moo,Kevin Dunn
Steven Spielberg,Ray Winstone,Action Adventure Fantasy,Harrison Ford,indiana jones and the kingdom of the crystal skul,Jim Broadbent
Peter Sohn,Jack McGraw,Adventure Animation Comedy Family Fantasy,A.J. Buckley,the good dinosau,Peter Sohn
Mark Andrews,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,brav,Julie Walters
Justin Lin,Melissa Roxburgh,Action Adventure Sci-Fi Thriller,Sofia Boutella,star trek beyon,Lydia Wilson
Andrew Stanton,Fred Willard,Adventure Animation Family Sci-Fi,John Ratzenberger,wall·,Jeff Garlin
Brett Ratner,Dana Ivey,Action Comedy Crime Thriller,Tzi Ma,rush hour ,Noémie Lenoir
Roland Emmerich,Liam James,Action Adventure Sci-Fi,Oliver Platt,201,Tom McCarthy
Robert Zemeckis,Colin Firth,Animation Drama Family Fantasy,Robin Wright,a christmas caro,Gary Oldman
Lana Wachowski,Mila Kunis,Action Adventure Sci-Fi,Channing Tatum,jupiter ascendin,Eddie Redmayne
David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,the legend of tarza,Casper Crump
Andrew Adamson,Kiran Shah,Adventure Family Fantasy,Jim Broadbent,"the chronicles of narnia: the lion, the witch and the wardrob",Shane Rangi
Bryan Singer,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: apocalyps,Tye Sheridan
Christopher Nolan,Heath Ledger,Action Crime Drama Thriller,Christian Bale,the dark knigh,Morgan Freeman
Pete Docter,Delroy Lindo,Adventure Animation Comedy Family,John Ratzenberger,u,Jess Harnell
Rob Letterman,Rainn Wilson,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,monsters vs. alien,Stephen Colbert
Jon Favreau,Jeff Bridges,Action Adventure Sci-Fi,Robert Downey Jr.,iron ma,Jon Favreau
Martin Scorsese,Christopher Lee,Adventure Drama Family Mystery,Chloë Grace Moretz,hug,Ray Winstone
Barry Sonnenfeld,Salma Hayek,Action Comedy Sci-Fi Western,Will Smith,wild wild wes,Bai Ling
Rob Cohen,Brendan Fraser,Action Adventure Fantasy Horror Thriller,Jet Li,the mummy: tomb of the dragon empero,Russell Wong
David Ayer,Robin Atkin Downes,Action Adventure Comedy Sci-Fi,Will Smith,suicide squa,Ike Barinholtz
Tom Shadyac,Morgan Freeman,Comedy Family Fantasy,Jimmy Bennett,evan almight,Steve Carell
Doug Liman,Lara Pulver,Action Adventure Sci-Fi,Tom Cruise,edge of tomorro,Noah Taylor
Kevin Reynolds,Rick Aviles,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,waterworl,Zakes Mokae
Stephen Sommers,Dennis Quaid,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,g.i. joe: the rise of cobr,Leo Howard
Pete Docter,Mindy Kaling,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,inside ou,Phyllis Smith
Jon Favreau,Bill Murray,Adventure Drama Family Fantasy,Scarlett Johansson,the jungle boo,Garry Shandling
Jon Favreau,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,iron man ,Jon Favreau
Rupert Sanders,Kristen Stewart,Action Adventure Drama Fantasy,Chris Hemsworth,snow white and the huntsma,Sam Claflin
Robert Stromberg,Sharlto Copley,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,maleficen,Sam Riley
Matt Reeves,Judy Greer,Action Adventure Drama Sci-Fi,Gary Oldman,dawn of the planet of the ape,Kodi Smit-McPhee
Roland Joffé,Alice Englert,Action Adventure Romance Sci-Fi,Tamsin Egerton,the lover,Bipasha Basu
Carl Rinsch,Cary-Hiroyuki Tagawa,Action Adventure Drama Fantasy,Keanu Reeves,47 roni,Jin Akanishi
Anthony Russo,Chris Evans,Action Adventure Sci-Fi,Scarlett Johansson,captain america: the winter soldie,Hayley Atwell
Mike Mitchell,Kathy Griffin,Adventure Animation Comedy Family Fantasy,Jon Hamm,shrek forever afte,Mary Kay Place
Brad Bird,Chris Bauer,Action Adventure Family Mystery Sci-Fi,Judy Greer,tomorrowlan,Thomas Robinson
Don Hall,Daniel Henney,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,big hero ,Abraham Benrubi
Rich Moore,Sarah Silverman,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,wreck-it ralp,Joe Lo Truglio
Robert Zemeckis,Eddie Deezen,Adventure Animation Family Fantasy,Tom Hanks,the polar expres,Peter Scolari
Roland Emmerich,Sela Ward,Action Adventure Sci-Fi,Vivica A. Fox,independence day: resurgenc,Judd Hirsch
Dean DeBlois,America Ferrera,Adventure Animation Family Fantasy,Gerard Butler,how to train your drago,Craig Ferguson
Jonathan Mostow,M.C. Gainey,Action Sci-Fi,Nick Stahl,terminator 3: rise of the machine,Carolyn Hennesy
James Gunn,Vin Diesel,Action Adventure Sci-Fi,Bradley Cooper,guardians of the galax,Djimon Hounsou
Christopher Nolan,Anne Hathaway,Adventure Drama Sci-Fi,Matthew McConaughey,interstella,Mackenzie Foy
Christopher Nolan,Tom Hardy,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,inceptio,Joseph Gordon-Levitt
