movie_title,recommend
avatar,"['aliens', 'star trek into darkness', 'wing commander', 'stargate: the ark of truth', 'zathura: a space adventure', 'final fantasy: the spirits within', 'Valerian and the City of a Thousand Planets', 'lockout', 'predators', 'the chronicles of riddick', 'star wars: episode v - the empire strikes back', 'barbarella', 'alien 3', 'guardians of the galaxy', 'divergent', 'titan a.e.', 'deep rising', 'independence day: resurgence', 'the time machine', 'the specials', 'destiny']"
pirates of the caribbean: at world's end,"[""pirates of the caribbean: dead man's chest"", 'pirates of the caribbean: the curse of the black pearl', 'Pirates of the Caribbean: Dead Men Tell No Tales', 'pirates of the caribbean: on stranger tides', 'the libertine', 'the lone ranger', 'alice through the looking glass', 'the three musketeers', 'cats & dogs: the revenge of kitty galore', 'rango', 'cutthroat island', 'Sherlock Gnomes', ""nim's island"", 'alice in wonderland', 'thor: the dark world', 'thor', 'anacondas: the hunt for the blood orchid', 'the lord of the rings: the return of the king', 'x-men: the last stand', 'charlie and the chocolate factory', 'Justice League']"
spectre,"['skyfall', 'quantum of solace', 'iBoy', 'die another day', 'allegiant', 'never say never again', 'thunderball', 'xXx: Return of Xander Cage', 'mission: impossible - rogue nation', 'casino royale', 'dr. no', 'Johnny English Strikes Again', 'stealth', 'goldfinger', 'the legend of tarzan', 'the world is not enough', 'insurgent', 'the hunt for red october', 'mission: impossible', 'the art of war', 'spy kids: all the time in the world in 4d']"
the dark knight rises,"['the dark knight', 'batman begins', 'inception', 'g.i. joe: the rise of cobra', 'rocknrolla', 'kick-ass 2', 'batman v superman: dawn of justice', 'invasion u.s.a.', 'Spider-Man: Far From Home', 'sin city: a dame to kill for', 'miracle at st. anna', 'premium rush', 'doomsday', 'don jon', 'ghost rider: spirit of vengeance', 'Justice League Dark', 'man of steel', 'catwoman', 'Venom', 'Shazam!', 'mission: impossible - ghost protocol']"
john carter,"['spy kids: all the time in the world in 4d', 'stargate: the ark of truth', 'the 5th wave', 'independence day: resurgence', 'wall·e', 'i am number four', 'the host', 'spy kids', 'mars needs moms', 'mission to mars', 'stealth', 'steamboy', 'aliens', 'monsters vs. aliens', 'transformers: age of extinction', 'the amazing spider-man 2', 'allegiant', 'timeline', 'spaced invaders', 'the iron giant', 'star trek into darkness']"
spider-man 3,"['spider-man 2', 'spider-man', 'guardians of the galaxy', 'Guardians of the Galaxy Vol. 2', 'flyboys', 'superman ii', 'batman v superman: dawn of justice', 'oz the great and powerful', 'avengers: age of ultron', 'Dark Phoenix', 'captain america: civil war', 'Deadpool 2', 'Aquaman', 'superman returns', 'the wolverine', 'deadpool', 'dragonball: evolution', 'the quick and the dead', 'iron man 2', 'Thor: Ragnarok', 'Ant-Man and the Wasp']"
tangled,"['stuart little 2', 'into the woods', 'enchanted', 'frozen', 'shrek 2', 'happy feet 2', ""legends of oz: dorothy's return"", 'thunder and the house of magic', 'the princess and the frog', 'sinbad: legend of the seven seas', 'winnie the pooh', 'the smurfs', 'anastasia', 'shrek', 'pocahontas', 'toy story 3', 'rio', 'aladdin', 'Frozen II', 'the pirate', 'mirror mirror']"
avengers: age of ultron,"['the avengers', 'captain america: civil war', 'iron man 2', 'captain america: the winter soldier', 'Thor: Ragnarok', 'iron man 3', 'Guardians of the Galaxy Vol. 2', 'guardians of the galaxy', 'iron man', 'thor: the dark world', 'Avengers: Endgame', 'Avengers: Infinity War', 'ant-man', 'Justice League', 'captain america: the first avenger', 'thor', 'superman ii', 'superman returns', 'the wolverine', 'deadpool', 'x-men: apocalypse']"
harry potter and the half-blood prince,"['harry potter and the chamber of secrets', 'harry potter and the prisoner of azkaban', 'harry potter and the order of the phoenix', 'harry potter and the goblet of fire', ""harry potter and the sorcerer's stone"", 'harry potter and the deathly hallows: part i', 'harry potter and the deathly hallows: part ii', 'oz the great and powerful', 'alice in wonderland', 'Fantastic Beasts: The Crimes of Grindelwald', 'the neverending story', 'the twilight saga: eclipse', 'goosebumps', 'alice through the looking glass', ""Mary and the Witch's Flower"", 'viy', 'thunder and the house of magic', 'inspector gadget', 'the chronicles of narnia: the voyage of the dawn treader', 'now you see me 2', ""howl's moving castle""]"
batman v superman: dawn of justice,"['Justice League', 'man of steel', 'green lantern', 'superman returns', 'doom', 'destiny', 'doomsday', 'superman ii', 'suicide squad', 'x-men: apocalypse', 'x-men', 'Teen Titans: The Judas Contract', 'superman', 'iron man 2', 'superman iii', 'the amazing spider-man 2', 'teenage mutant ninja turtles', 'avengers: age of ultron', 'iron man 3', 'guardians of the galaxy', 'the time machine']"
